code,state
DKK,NY
DLF,TX
DLG,AK
DLH,MN
DLL,SC
DLN,MT
DLS,OR
DMA,AZ
DMN,NM
DMO,MO
DNL,GA
DNN,GA
DNS,IA
DNV,IL
DOV,DE
DPA,IL
DPG,UT
DRA,NV
DRE,MI
DRF,AK
DRG,AK
DRI,LA
DRO,CO
DRT,TX
DRU,MT
DSI,FL
DSM,IA
DSV,NY
DTA,UT
DTH,CA
DTL,MN
DTN,LA
DTR,WA
DTW,MI
DTX,TX
DUA,OK
DUC,OK
DUF,NC
DUG,AZ
DUJ,PA
DUT,AK
DVL,ND
DVN,IA
DVT,AZ
DWH,TX
DXE,MS
DXR,CT
DYL,PA
DYS,TX
EAA,AK
EAN,WY
EAR,NE
EAT,WA
EAU,WI
EBS,IA
ECA,MI
ECG,NC
ECP,FL
ECS,WY
EDA,AK
EDE,NC
EDF,AK
EDK,KS
EDW,CA
EED,CA
EEK,AK
EEN,NH
EFD,TX
EFK,VT
EFW,IA
EGE,CO
EGI,FL
EGP,TX
EGV,WI
EGX,AK
EHM,AK
EIL,AK
EKA,CA
EKI,IN
EKN,WV
EKO,NV
EKX,KY
ELA,TX
ELD,AR
ELI,AK
ELK,OK
ELM,NY
ELN,WA
ELP,TX
ELV,AK
ELW,AK
ELY,NV
ELZ,NY
EMK,AK
EMM,WY
EMP,KS
EMT,CA
ENA,AK
END,OK
ENL,IL
ENN,AK
ENV,UT
ENW,WI
EOK,IA
EOS,MO
EPG,NE
EPH,WA
ERI,PA
ERR,NH
ERV,TX
ESC,MI
ESD,WA
ESF,LA
ESN,MD
ESO,NM
EST,IA
ESW,WA
ETB,WI
ETN,TX
ETS,AL
EUE,NV
EUF,AL
EUG,OR
EVM,MN
EVV,IN
EVW,WY
EWB,MA
EWK,KS
EWN,NC
EWR,NJ
EXI,AK
EYR,NV
EYW,FL
FAF,VA
FAI,AK
FAK,AK
FAM,MO
FAR,ND
FAT,CA
FAY,NC
FBG,NC
FBK,AK
FBL,MN
FBR,WY
FBS,WA
FBY,NE
FCA,MT
FCH,CA
FCM,MN
FCS,CO
FCY,AR
FDK,MD
FDR,OK
FDY,OH
FEP,IL
FET,NE
FFA,NC
FFL,IA
FFM,MN
FFO,OH
FFT,KY
FHU,AZ
FID,NY
FIL,UT
FKL,PA
FKN,VA
FLD,WI
FLG,AZ
FLL,FL
FLO,SC
FLP,AR
FLT,AK
FLV,KS
FLX,NV
FME,MD
FMH,MA
FMN,NM
FMS,IA
FMU,OR
FMY,FL
FNL,CO
FNR,AK
FNT,MI
FOB,CA
FOD,IA
FOE,KS
FOK,NY
FPR,FL
FPY,FL
FRD,WA
FRG,NY
FRH,IN
FRI,KS
FRM,MN
FRN,AK
FRR,VA
FRY,ME
FSD,SD
FSI,OK
FSK,KS
FSM,AR
FST,TX
FSU,NM
FTK,KY
FTW,TX
FTY,GA
FUL,CA
FWA,IN
FWH,TX
FWL,AK
FXE,FL
FXY,IA
FYM,TN
FYU,AK
FYV,AR
GAB,NV
GAD,AL
GAG,OK
GAI,MD
GAL,AK
GAM,AK
GBD,KS
GBG,IL
GBH,AK
GBR,MA
GCC,WY
GCD,WA
GCK,KS
GCN,AZ
GCT,AZ
GCW,AZ
GCY,TN
GDC,SC
GDH,AK
GDM,MA
GDV,MT
GDW,MI
GED,DE
GEG,WA
GEY,WY
GFA,MT
GFD,IN
GFK,ND
GFL,NY
GGE,SC
GGG,TX
GGW,MT
GHM,TN
GIF,FL
GJT,CO
GKN,AK
GKT,TN
GLB,AZ
GLD,KS
GLE,TX
GLH,MS
GLR,MI
GLS,TX
GLV,AK
GLW,KY
GMT,AK
GMU,SC
GMV,UT
GNF,CA
GNG,ID
GNT,NM
GNU,AK
GNV,FL
GOK,OK
GOL,OR
GON,CT
GPT,MS
GPZ,MN
GQQ,OH
GRB,WI
GRD,SC
GRE,IL
GRF,WA
GRI,NE
GRK,TX
GRM,MN
GRN,NE
GRR,MI
GSB,NC
GSH,IN
GSO,NC
GSP,SC
GST,AK
GTF,MT
GTG,WI
GTP,OR
GTR,MS
GTY,PA
GUC,CO
GUF,AL
GUP,NM
GUS,IN
GUY,OK
GVE,VA
GVL,GA
GVT,TX
GWO,MS
GWS,CO
GWV,WV
GXY,CO
GYR,AZ
GYY,IN
HAB,AL
HAE,AZ
HAF,CA
HAI,MI
HAO,OH
HAR,PA
HBB,NM
HBG,MS
HBH,AK
HBK,AZ
HBR,OK
HCA,TX
HCC,NY
HCR,AK
HCW,SC
HDE,NE
HDH,HI
HDN,CO
HED,AK
HEE,AR
HES,OR
HEY,AL
HEZ,MS
HFD,CT
HFF,NC
HGR,MD
HGT,CA
HGZ,AK
HHH,SC
HHI,HI
HHR,CA
HIB,MN
HIE,NH
HIF,UT
HII,AZ
HIO,OR
HKA,AR
HKB,AK
HKS,MS
HKY,NC
HLB,IN
HLC,KS
HLG,WV
HLI,CA
HLM,MI
HLN,MT
HLR,TX
HMN,NM
HMT,CA
HNB,IN
HNC,NC
HNH,AK
HNL,HI
HNM,HI
HNS,AK
HOB,NM
HOM,AK
HON,SD
HOP,KY
HOT,AR
HOU,TX
HPB,AK
HPN,NY
HPT,IA
HPV,HI
HPY,TX
HQM,WA
HRL,TX
HRO,AR
HSB,IL
HSH,NV
HSI,NE
HSL,AK
HSP,VA
HST,FL
HSV,AL
HTH,NV
HTL,MI
HTO,NY
HTS,WV
HTV,TX
HTW,OH
HUA,AL
HUD,IA
HUF,IN
HUJ,OK
HUL,ME
HUM,LA
HUS,AK
HUT,KS
HVE,UT
HVN,CT
HVR,MT
HVS,SC
HWD,CA
HWI,AK
HWO,FL
HYA,MA
HYG,AK
HYL,AK
HYR,WI
HYS,KS
HZL,PA
IAB,KS
IAD,VA
IAG,NY
IAH,TX
IAN,AK
ICL,IA
ICS,ID
ICT,KS
ICY,AK
IDA,ID
IDG,IA
IDH,ID
IDI,PA
IDP,KS
IFA,IA
IFP,AZ
IGG,AK
IGM,AZ
IJX,IL
IKB,NC
IKK,IL
IKO,AK
ILE,TX
ILG,DE
ILI,AK
ILL,MN
ILM,NC
ILN,OH
IML,NE
IMM,FL
IMT,MI
IND,IN
INK,TX
INL,MN
INS,NV
INT,NC
INW,AZ
IOW,IA
IPL,CA
IPT,PA
IRB,TX
IRC,AK
IRK,MO
IRS,MI
ISM,FL
ISO,NC
ISP,NY
ISQ,MI
ISS,ME
ISW,WI
ITH,NY
ITO,HI
IUA,NY
IWD,MI
IWS,TX
IYK,CA
JAC,WY
JAN,MS
JAS,TX
JAX,FL
JBR,AR
JBT,AK
JCI,KS
JCT,TX
JCY,TX
JDA,OR
JDN,MT
JEF,MO
JFK,NY
JFN,OH
JHM,HI
JHW,NY
JID,CA
JKV,TX
JLA,AK
JLN,MO
JMS,ND
JNU,AK
JOT,IL
JPN,VA
JRA,NY
JRB,NY
JRF,HI
JST,PA
JVI,NJ
JVL,WI
JXN,MI
KAE,AK
KAL,AK
KBC,AK
KBE,AK
KBW,AK
KCC,AK
KCG,AK
KCL,AK
KCN,AK
KCQ,AK
KCR,AK
KDK,AK
KEB,AK
KEH,WA
KEK,AK
KFP,AK
KGK,AK
KGX,AK
KGZ,AK
KIB,AK
KIC,CA
KIP,TX
KKA,AK
KKB,AK
KKH,AK
KKI,AK
KKK,AK
KKL,AK
KKT,IN
KKU,AK
KLG,AK
KLL,AK
KLN,AK
KLS,WA
KLW,AK
KMO,AK
KMY,AK
KNB,UT
KNK,AK
KNT,MO
KNW,AK
KOA,HI
KOT,AK
KOY,AK
KOZ,AK
KPB,AK
KPC,AK
KPN,AK
KPR,AK
KPT,NV
KPV,AK
KPY,AK
KQA,AK
KSM,AK
KTB,AK
KTH,AK
KTN,AK
KTS,AK
KUK,AK
KVC,AK
KVL,AK
KWF,AK
KWK,AK
KWN,AK
KWP,AK
KWT,AK
KXA,AK
KYK,AK
KYO,FL
KYU,AK
KZB,AK
LAA,CO
LAF,IN
LAL,FL
LAM,NM
LAN,MI
LAR,WY
LAS,NV
LAW,OK
LAX,CA
LBB,TX
LBE,PA
LBF,NE
LBL,KS
LBT,NC
LCH,LA
LCI,NH
LCK,OH
LCQ,FL
LDJ,NJ
LDM,MI
LEB,NH
LEE,FL
LEM,SD
LEW,ME
LEX,KY
LFI,VA
LFK,TX
LFN,NC
LFT,LA
LGA,NY
LGB,CA
LGC,GA
LGD,OR
LGF,AZ
LGU,UT
LHV,PA
LIC,CO
LIH,HI
LIT,AR
LIV,AK
LIY,GA
LIZ,ME
LJN,TX
LKE,WA
LKK,AK
LKP,NY
LKV,OR
LLX,VT
LLY,NJ
LMA,AK
LMS,MS
LMT,OR
LNA,FL
LND,WY
LNI,AK
LNK,NE
LNN,OH
LNP,VA
LNR,WI
LNS,PA
LNY,HI
LOL,NV
LOR,AL
LOT,IL
LOU,KY
LOW,VA
LOZ,KY
LPC,CA
LPO,IN
LPS,WA
LQK,SC
LRD,TX
LRF,AR
LRJ,IA
LRU,NM
LSB,NM
LSE,WI
LSF,GA
LSK,WY
LSN,CA
LSV,NV
LTS,OK
LTW,MD
LUF,AZ
LUK,OH
LUL,MS
LUP,HI
LUR,AK
LVD,AK
LVK,CA
LVL,VA
LVM,MT
LVS,NM
LWB,WV
LWC,KS
LWL,NV
LWM,MA
LWS,ID
LWT,MT
LWV,IL
LXN,NE
LXV,CO
LYH,VA
LYO,KS
LYU,MN
LZU,GA
MAC,GA
MAE,CA
MAF,TX
MAW,MO
MBG,SD
MBL,MI
MBS,MI
MBY,MO
MCB,MS
MCC,CA
MCD,MI
MCE,CA
MCF,FL
MCG,AK
MCI,MO
MCK,NE
MCL,AK
MCN,GA
MCO,FL
MCW,IA
MDA,TX
MDD,TX
MDF,WI
MDH,IL
MDJ,OR
MDN,IN
MDO,AK
MDT,PA
MDW,IL
MEI,MS
MEJ,PA
MEM,TN
MEO,NC
MER,CA
MEV,NV
MFD,OH
MFE,TX
MFH,NV
MFI,WI
MFR,OR
MFV,VA
MGC,IN
MGE,GA
MGI,TX
MGJ,NY
MGM,AL
MGR,GA
MGW,WV
MGY,OH
MHE,SD
MHK,KS
MHL,MO
MHN,NE
MHR,CA
MHS,CA
MHT,NH
MHV,CA
MIA,FL
MIB,ND
MIC,MN
MIE,IN
MIF,TX
MIO,OK
MIQ,NE
MIT,CA
MIV,NJ
MIW,IA
MJQ,MN
MJX,NJ
MKC,MO
MKE,WI
MKG,MI
MKK,HI
MKL,TN
MKO,OK
MKT,MN
MLB,FL
MLC,OK
MLD,ID
MLF,UT
MLI,IL
MLJ,GA
MLK,MT
MLL,AK
MLS,MT
MLT,ME
MLU,LA
MLY,AK
MMH,CA
MMI,TN
MML,MN
MMN,MA
MMS,MS
MMT,SC
MMU,NJ
MNM,MI
MNN,OH
MNT,AK
MNZ,VA
MOB,AL
MOD,CA
MOP,MI
MOR,TN
MOS,AK
MOT,ND
MOU,AK
MOX,MN
MPB,FL
MPJ,AR
MPO,PA
MPR,KS
MPS,TX
MPV,VT
MPZ,IA
MQB,IL
MQT,MI
MQW,GA
MQY,TN
MRB,WV
MRC,TN
MRF,TX
MRI,AK
MRK,FL
MRN,NC
MRY,CA
MSC,AZ
MSL,AL
MSN,WI
MSO,MT
MSP,MN
MSS,NY
MSV,NY
MSY,LA
MTC,MI
MTH,FL
MTJ,CO
MTM,AK
MTN,MD
MTO,IL
MTP,NY
MTW,WI
MTX,AK
MUE,HI
MUI,PA
MUL,GA
MUO,ID
MUT,IA
MVC,AL
MVE,MN
MVL,VT
MVM,AZ
MVN,IL
MVW,WA
MVY,MA
MWA,IL
MWC,WI
MWH,WA
MWL,TX
MWM,MN
MWO,OH
MXA,AR
MXC,UT
MXE,NC
MXF,AL
MXO,IA
MXY,AK
MYF,CA
MYH,AZ
MYK,AK
MYL,ID
MYR,SC
MYU,AK
MYV,CA
MZJ,AZ
MZZ,IN
NBG,LA
NCN,AK
NCO,RI
NEL,NJ
NEN,FL
NEW,LA
NFL,NV
NGF,HI
NGP,TX
NGU,VA
NGW,TX
NHK,MD
NHX,AL
NHZ,ME
NIB,AK
NIN,AK
NIP,FL
NIR,TX
NJK,CA
NKI,AK
NKX,CA
NLC,CA
NLE,MI
NLG,AK
NLN,CA
NME,AK
NNK,AK
NNL,AK
NOT,CA
NPA,FL
NPH,UT
NPT,RI
NQA,TN
NQI,TX
NQX,FL
NRB,FL
NRI,OK
NRS,CA
NSE,FL
NSL,MN
NTD,CA
NTJ,UT
NTU,VA
NUI,AK
NUL,AK
NUP,AK
NUQ,CA
NUW,WA
NVD,MO
NVN,CA
NWH,NH
NYG,VA
NYS,NY
NZY,CA
